timeStamp,GXHYNH_133_PI_2101.PV,GXHYNH_133_PI_2102.PV,GXHYNH_133_FI_2101A.PV,GXHYNH_133_FI_2102A.PV,GXHYNH_133_FI_2104A.PV,GXHYNH_133_FI_2105A.PV,GXHYNH_133_FI_2106A.PV,GXHYNH_133_AI_2101A.PV,GXHYNH_133_AI_2101C.PV
时间,????????????????????,???????????????????,???????????????????,???????????????,?????????????????????,??????????????1,??????????????2,????????????133-E-2102????????H2S????,????????????133-E-2102????????SO2????
2025/03/27 00:26:05,107.423958,118.784187,3086.99731,79.26824,1321.98718,619.768066,136.694183,1.03120947,0.05686216
2025/03/27 00:26:10,\xD6\xD0\x81\xFE\x81\x7F,118.754883,3092.64941,79.7889252,1320.99622,619.802,136.616989,1.03328609,0.05644249
2025/03/27 00:26:15,107.454033,118.814438,3091.622,79.03579,1328.72827,620.021667,136.5398,1.04794085,0.05602282
2025/03/27 00:26:20,?,118.874,3094.05444,78.28265,1324.4563,620.0835,136.4626,1.05549049,0.055072196
2025/03/27 00:26:25,107.4841,118.933556,3088.55,80.46713,1327.946,619.488464,136.3854,1.06337345,0.053901896
2025/03/27 00:26:30,107.499138,118.889961,3104.76318,80.46713,1334.8125,620.078857,136.145386,1.07780409,0.052731592
2025/03/27 00:26:35,107.514168,118.7489,3096.1106,79.49278,1323.47253,619.4115,136.105911,1.08356774,0.052720375
2025/03/27 00:26:40,107.529205,118.607841,3098.29883,80.46713,1326.43616,619.0883,136.171555,1.07550466,0.053167418
2025/03/27 00:26:45,107.544243,118.260841,3091.402,80.46713,1329.04858,618.676147,136.237213,1.08971977,0.053614456
2025/03/27 00:26:50,107.55928,117.48439,3096.69116,80.46713,1323.42627,619.0148,136.302872,1.08183992,0.0540615
2025/03/27 00:26:55,107.57431,116.707939,3117.72534,80.46713,1320.09412,618.497,136.36853,1.06730759,0.054508537
2025/03/27 00:27:00,107.589348,115.798325,3105.59351,80.46713,1310.69116,618.297241,136.506638,1.06203246,0.054955576
2025/03/27 00:27:05,107.604385,115.177971,3099.711,78.81439,1324.75659,618.443237,136.671265,1.06467378,0.055402618
2025/03/27 00:27:10,107.619415,115.223946,3096.29663,80.46713,1325.37134,617.693848,136.835892,1.03945577,0.055849657
2025/03/27 00:27:15,107.634453,115.269928,3102.242,80.46713,1321.412,617.5413,137.3431,1.04797065,0.0562967
2025/03/27 00:27:20,107.64949,115.389832,3105.366,80.46713,1327.16162,617.105042,138.257065,1.013849,0.056427077
2025/03/27 00:27:25,107.664528,115.649567,3096.8374,80.46713,1324.79358,617.069641,138.697891,1.03055,0.056293327
2025/03/27 00:27:30,107.679558,115.534843,3103.41919,80.4235153,1325.84033,617.1161,139.378723,1.03912854,0.05615958
2025/03/27 00:27:35,107.694595,115.4005,3104.706,78.16312,1322.658,617.4132,140.139191,1.0215596,0.05602583
2025/03/27 00:27:40,107.709633,115.296104,3110.4502,80.3663559,1318.97034,617.9562,140.647339,1.04624367,0.05589208
2025/03/27 00:27:45,107.724663,115.35025,3103.93213,79.73214,1316.91956,618.8466,141.074524,1.02370834,0.05575833
2025/03/27 00:27:50,107.7397,115.404396,3099.6853,79.0979156,1317.80737,619.156067,141.3693,1.03187966,0.055624586
2025/03/27 00:27:55,107.754738,115.458542,3106.316,78.4637,1311.04077,619.0188,141.433228,1.04572248,0.055490837
2025/03/27 00:28:00,107.769775,115.512688,3097.82568,80.09668,1314.5249,619.2302,141.497162,1.04817045,0.055357087
2025/03/27 00:28:05,107.784805,115.580353,3091.665,80.16684,1318.14282,618.3749,141.561081,1.051733,0.055453327
2025/03/27 00:28:10,107.799843,115.582993,3096.72388,79.3634949,1315.164,617.7777,141.625015,1.06731784,0.05572082
2025/03/27 00:28:15,107.81488,115.471527,3099.71021,78.56015,1321.78162,617.921265,141.68895,1.053767,0.05598832
2025/03/27 00:28:20,107.82991,115.04538,3101.92847,78.25305,1318.49536,617.730652,141.7693,1.05363655,0.056255817
2025/03/27 00:28:25,107.844948,115.1563,3092.606,80.31609,1323.178,617.2027,141.86142,1.03862715,0.056523312
2025/03/27 00:28:30,107.859985,115.267227,3104.013,78.48394,1319.694,617.651,141.953537,1.04491019,0.05679081
2025/03/27 00:28:35,107.875023,115.683533,3106.97314,78.08997,1319.85461,616.7455,142.045654,1.02582371,0.058067076
2025/03/27 00:28:40,107.890053,116.310486,3104.12817,79.2707,1322.0791,617.207336,142.137787,1.01971078,0.06003911
2025/03/27 00:28:45,107.90509,116.937431,3099.936,80.4657745,1315.6521,617.39624,142.169861,0.997203231,0.06201114
2025/03/27 00:28:50,107.920128,117.558113,3099.819,78.45899,1317.41516,617.1857,142.201736,0.9797817,0.06398317
2025/03/27 00:28:55,107.935158,118.1758,3090.9,78.00153,1320.06189,616.6856,142.233627,0.9663836,0.06595521
2025/03/27 00:29:00,107.950195,118.306412,3095.14,79.18513,1318.49609,616.729,142.265518,0.968011856,0.06792724
2025/03/27 00:29:05,107.965233,118.437027,3099.1,79.30295,1322.65527,616.634155,142.2974,0.9200446,0.069899276
2025/03/27 00:29:10,107.98027,118.476509,3084.89429,78.09554,1324.02942,616.124756,142.342865,0.9364608,0.0718713
2025/03/27 00:29:15,107.9953,118.541733,3094.109,80.1039047,1329.38879,617.4561,142.391479,0.9276186,0.07384334
2025/03/27 00:29:20,108.010338,118.905365,3094.92529,78.11671,1327.0896,618.0383,142.440079,0.9390929,0.0747597
2025/03/27 00:29:25,108.024849,119.2921,3103.86987,80.46713,1325.13257,618.2035,142.4887,0.9344587,0.075442985
2025/03/27 00:29:30,108.018562,119.758827,3100.66748,78.23232,1327.64111,619.2057,142.479584,0.9036516,0.07612627
2025/03/27 00:29:35,108.012268,120.055786,3099.46338,78.2585,1326.05457,619.4451,142.392929,0.919820547,0.07680955
2025/03/27 00:29:40,108.005981,120.127441,3081.13379,78.7097855,1325.642,619.4655,142.306259,0.9090915,0.077492826
2025/03/27 00:29:45,107.999695,120.199089,3082.4187,79.1610641,1313.25208,619.2353,142.2196,0.908840656,0.07817611
2025/03/27 00:29:50,107.993408,119.886131,3091.36255,79.61235,1309.79468,619.6471,142.132935,0.908135533,0.07885939
2025/03/27 00:29:55,107.987122,119.355316,3091.68774,80.06364,1315.723,618.666931,142.04628,0.90893954,0.079542674
2025/03/27 00:30:00,107.980835,118.8245,3099.24756,79.48409,1316.80042,617.993,141.95961,0.9175865,0.08022596
2025/03/27 00:30:05,107.974548,118.59874,3092.68384,78.66503,1319.62256,618.1698,141.872955,0.9046086,0.08090924
2025/03/27 00:30:10,107.968262,118.538895,3102.622,79.37386,1320.42615,618.0395,141.786285,0.904359937,0.081592515
2025/03/27 00:30:15,107.961975,118.47905,3102.01831,80.082695,1320.84717,617.8519,141.813583,0.909746766,0.0822758
2025/03/27 00:30:20,107.955681,118.419205,3099.44214,80.3657455,1319.51025,617.1215,141.860458,0.880860865,0.082959086
2025/03/27 00:30:25,107.949394,118.404739,3099.45361,78.6442947,1324.2356,617.7535,141.907349,0.8766104,0.08372905
2025/03/27 00:30:30,107.943108,118.518517,3096.13428,78.32095,1331.714,617.91864,141.954224,0.8671005,0.08581051
2025/03/27 00:30:35,107.936821,118.6323,3086.65039,78.8865356,1327.88867,617.4597,142.0011,0.86151576,0.08789198
2025/03/27 00:30:40,107.930534,118.746078,3086.48877,79.95274,1329.743,617.3384,142.047989,0.8541182,0.08997344
2025/03/27 00:30:45,107.924248,118.859856,3092.05249,78.36573,1330.16846,616.7057,142.094864,0.848886669,0.09199456
2025/03/27 00:30:50,107.917961,118.97364,3093.76245,79.30401,1327.46094,616.1402,142.141754,0.8421973,0.093265176
